N	schur_bound	exact_norm	ratio
10	4.366666666666666e0	2.484039162110367e0	1.757889623188095e0
20	5.757936507936508e0	2.773086362018666e0	2.076363933990510e0
50	7.591916355507013e0	2.975418569522130e0	2.551545665968712e0
100	8.978410676658850e0	3.051948622065337e0	2.941861672161084e0
200	1.036475503527924e1	3.093642612907093e0	3.350340143375349e0
500	1.219735049886516e1	3.120814895492070e0	3.908386401411981e0
1000	1.358364685998105e1	3.130494648247070e0	4.339137544153687e0
